Function,Optimizer,SuccessRate,MinFx,MeanFx,StdFx,MeanEvals,MeanTimeMs
Alpine,GradientDescentOptimizer,0,1.081E-008,2.452E-004,2.832E-004,25001,4.9
Levy,AntAnnealingOptimizer,0,6.225E-006,9.892E-005,6.796E-005,6036001,1920.1
Levy,SimulatedAnnealingOptimizer,0,2.599E-004,2.657E+000,3.067E+000,10001,5.3
Levy,GradientDescentOptimizer,0,2.768E-002,7.705E+000,4.139E+000,25001,11.2
Weierstrass,AntAnnealingOptimizer,1,0.000E+000,0.000E+000,0.000E+000,6036001,25710.4
Weierstrass,SimulatedAnnealingOptimizer,0.9333333333333333,0.000E+000,3.647E-004,1.423E-003,10001,49.6
Weierstrass,GradientDescentOptimizer,1,0.000E+000,0.000E+000,0.000E+000,25001,109.9
Styblinski-Tang,AntAnnealingOptimizer,1,-7.833E+001,-7.833E+001,2.372E-007,6036001,1417.9
Styblinski-Tang,SimulatedAnnealingOptimizer,1,-7.833E+001,-6.467E+001,1.016E+001,10001,4.3
Styblinski-Tang,GradientDescentOptimizer,1,-7.833E+001,-6.467E+001,9.453E+000,25001,6.3
Michalewicz,AntAnnealingOptimizer,1,-1.801E+000,-1.801E+000,1.042E-006,6036001,1706.2
Michalewicz,SimulatedAnnealingOptimizer,1,-1.801E+000,-1.801E+000,1.190E-004,10001,5.3
Michalewicz,GradientDescentOptimizer,0.03333333333333333,-1.801E+000,-7.863E-001,6.285E-001,25001,8.8
